交易日期,策略收益率,基准收益率
2025-01-02,0.3350%,0.2100%
2025-01-03,0.4592%,0.2518%
2025-01-06,0.5728%,0.2925%
2025-01-07,0.6680%,0.3315%
2025-01-08,0.7393%,0.3684%
2025-01-09,0.7840%,0.4027%
2025-01-10,0.8025%,0.4339%
2025-01-13,0.7984%,0.4616%
2025-01-14,0.7770%,0.4855%
2025-01-15,0.7452%,0.5051%
2025-01-16,0.7098%,0.5203%
2025-01-17,0.6764%,0.5308%
2025-01-20,0.6488%,0.5363%
2025-01-21,0.6279%,0.5369%
2025-01-22,0.6121%,0.5323%
2025-01-23,0.5973%,0.5226%
2025-01-24,0.5777%,0.5079%
2025-01-27,0.5469%,0.4882%
2025-01-28,0.4989%,0.4637%
2025-01-29,0.4296%,0.4347%
2025-01-30,0.3371%,0.4013%
2025-01-31,0.2227%,0.3640%
2025-02-03,0.0906%,0.3231%
2025-02-04,-0.0524%,0.2791%
2025-02-05,-0.1977%,0.2323%
2025-02-06,-0.3361%,0.1832%
2025-02-07,-0.4589%,0.1325%
2025-02-10,-0.5593%,0.0805%
2025-02-11,-0.6329%,0.0279%
2025-02-12,-0.6786%,-0.0248%
2025-02-13,-0.6982%,-0.0771%
2025-02-14,-0.6964%,-0.1283%
2025-02-17,-2.7795%,-1.3780%
2025-02-18,-2.7545%,-1.4256%
2025-02-19,0.3717%,0.3293%
2025-02-20,0.3943%,0.2873%
2025-02-21,-0.5898%,-0.3512%
2025-02-24,-0.5803%,-0.3858%
2025-02-25,-0.5748%,-0.4163%
2025-02-26,-0.5685%,-0.4422%
