交易日期,策略收益率
2025-01-02,0.00335
2025-01-03,0.00459207
2025-01-06,0.00572789
2025-01-07,0.00667987
2025-01-08,0.00739257
2025-01-09,0.00783953
2025-01-10,0.00802545
2025-01-13,0.00798387
2025-01-14,0.00777032
2025-01-15,0.00745236
2025-01-16,0.00709795
2025-01-17,0.00676411
2025-01-20,0.00648751
2025-01-21,0.00627875
2025-01-22,0.00612093
2025-01-23,0.00597296
2025-01-24,0.005777
2025-01-27,0.00546883
2025-01-27,0.00498944
2025-01-29,0.00429614
2025-01-30,0.00337121
2025-01-31,0.00222687
2025-02-03,0.00090555
2025-02-04,-0.00052444
2025-02-05,-0.00197729
2025-02-06,-0.0033609
2025-02-07,-0.00458904
2025-02-10,-0.00559272
2025-02-11,-0.00632903
2025-02-12,-0.00678591
2025-02-13,-0.00698237
2025-02-14,-0.00696405
2025-02-17,-0.02779474
2025-02-18,-0.02754548
2025-02-19,0.00371731
2025-02-20,0.00394252
2025-02-21,-0.00589757
2025-02-24,-0.00580335
2025-02-25,-0.00574848
2025-02-26,-0.00568508
