日期,策略收益率
03/02/2025,0.00335
04/02/2025,0.00459207
05/02/2025,0.00572789
06/02/2025,0.00667987
07/02/2025,0.00739257
08/02/2025,0.00783953
09/02/2025,0.00802545
10/02/2025,0.00798387
11/02/2025,0.00777032
12/02/2025,0.00745236
01/02/2025,0.00709795
02/02/2025,0.00676411
03/02/2025,0.00648751
04/02/2025,0.00627875
05/02/2025,0.00612093
06/02/2025,0.00597296
07/02/2025,0.005777
08/02/2025,0.00546883
09/02/2025,0.00498944
10/02/2025,0.00429614
11/02/2025,0.00337121
12/02/2025,0.00222687
01/02/2025,0.00090555
02/02/2025,-0.00052444
03/02/2025,-0.00197729
04/02/2025,-0.0033609
05/02/2025,-0.00458904
06/02/2025,-0.00559272
07/02/2025,-0.00632903
08/02/2025,-0.00678591
