date,strategy_return,benchmark_return
2026-01-05,0.0040,0.0020
2026-01-06,-0.0020,-0.0010
2026-01-07,0.0060,0.0030
2026-01-08,0.0010,0.0015
2026-01-09,-0.0030,-0.0020
2026-01-12,0.0050,0.0025
2026-01-13,0.0020,0.0010
2026-01-14,-0.0010,-0.0015
2026-01-15,0.0070,0.0040
2026-01-16,-0.0020,-0.0010
2026-01-19,0.0030,0.0020
2026-01-20,0.0040,0.0015
2026-01-21,-0.0015,-0.0005
2026-01-22,0.0025,0.0010
2026-01-23,0.0010,0.0005
2026-01-26,-0.0040,-0.0025
2026-01-27,0.0055,0.0030
2026-01-28,0.0020,0.0010
2026-01-29,-0.0010,-0.0005
2026-01-30,0.0035,0.0020
